patron_type,time_spent,question_format,location_name,question_half_hour,question_date,question_weekday
Faculty,05-10 minutes,Email Personal,Research and Instruction Services,9:30 AM,1/2/14,Thursday
Undergraduate Student,05-10 minutes,In Person Personal,Access Services,11:00 AM,1/2/14,Thursday
Graduate Student,01-5 minutes,Chat,Access Services,11:00 AM,1/2/14,Thursday
Graduate Student,0-1 minutes,Phone Service Point,Access Services,11:00 AM,1/2/14,Thursday
Faculty,0-1 minutes,Email List,Access Services,11:00 AM,1/2/14,Thursday
Staff/Administration,01-5 minutes,Phone Service Point,Access Services,1:00 PM,1/2/14,Thursday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,1:30 PM,1/2/14,Thursday
Graduate Student,01-5 minutes,Phone Service Point,Access Services,3:30 PM,1/2/14,Thursday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,3:30 PM,1/2/14,Thursday
Visitor/Other,05-10 minutes,In Person Service Point,Access Services,1:00 PM,1/6/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,1:30 PM,1/6/14,Monday
Visitor/Other,01-5 minutes,Phone Service Point,Access Services,1:30 PM,1/6/14,Monday
Visitor/Other,01-5 minutes,Phone Service Point,Access Services,1:30 PM,1/6/14,Monday
Faculty,01-5 minutes,In Person Service Point,Access Services,2:00 PM,1/6/14,Monday
Faculty,10-20 minutes,In Person Service Point,Access Services,2:00 PM,1/6/14,Monday
Staff/Administration,05-10 minutes,Email List,Access Services,2:00 PM,1/6/14,Monday
ARC,05-10 minutes,Phone Service Point,Access Services,2:30 PM,1/6/14,Monday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,2:30 PM,1/6/14,Monday
Visitor/Other,01-5 minutes,Phone Service Point,Access Services,3:00 PM,1/6/14,Monday
Faculty,01-5 minutes,Phone Service Point,Access Services,3:30 PM,1/6/14,Monday
Visitor/Other,01-5 minutes,Email Personal,Access Services,4:00 PM,1/6/14,Monday
Faculty,01-5 minutes,Email Personal,Research and Instruction Services,8:30 AM,1/7/14,Tuesday
