patron_type,time_spent,question_format,location_name,question_half_hour,question_date,question_weekday
Staff/Administration,01-5 minutes,Phone Service Point,Access Services,13:00,1/2/14,Thursday
Visitor/Other,05-10 minutes,In Person Service Point,Access Services,13:00,1/6/14,Monday
Visitor/Other,05-10 minutes,Phone Service Point,Access Services,13:00,1/7/14,Tuesday
Faculty,01-5 minutes,In Person Service Point,Access Services,13:00,1/10/14,Friday
Faculty,01-5 minutes,Email Personal,Research and Instruction Services,13:00,1/13/14,Monday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,13:00,1/14/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,13:00,1/17/14,Friday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,13:00,1/19/14,Sunday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,13:00,1/19/14,Sunday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,13:00,1/20/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,13:00,1/21/14,Tuesday
Graduate Student,01-5 minutes,In Person Service Point,Access Services,13:00,1/22/14,Wednesday
Undergraduate Student,20-30 minutes,In Person Personal,Research and Instruction Services,13:00,1/23/14,Thursday
Faculty,05-10 minutes,Email List,Access Services,13:00,1/23/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,13:00,1/24/14,Friday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,13:00,1/24/14,Friday
Undergraduate Student,01-5 minutes,Chat,Access Services,13:00,1/26/14,Sunday
Faculty,01-5 minutes,In Person Personal,Access Services,13:00,1/31/14,Friday
Visitor/Other,01-5 minutes,Email List,Archives and Special Collections,13:00,2/4/14,Tuesday
Undergraduate Student,20-30 minutes,Email Personal,Research and Instruction Services,13:00,2/5/14,Wednesday
Undergraduate Student,10-20 minutes,In Person Service Point,Access Services,13:00,2/7/14,Friday
Faculty,01-5 minutes,Email Personal,Research and Instruction Services,13:00,2/8/14,Saturday
Visitor/Other,05-10 minutes,Phone Service Point,Access Services,13:00,2/10/14,Monday
Undergraduate Student,05-10 minutes,Chat,Research and Instruction Services,13:00,2/10/14,Monday
Undergraduate Student,10-20 minutes,Chat,Research and Instruction Services,13:00,2/12/14,Wednesday
Undergraduate Student,10-20 minutes,In Person Service Point,Access Services,13:00,2/18/14,Tuesday
Undergraduate Student,20-30 minutes,Email Personal,Access Services,13:00,2/18/14,Tuesday
Undergraduate Student,05-10 minutes,In Person Personal,Archives and Special Collections,13:00,2/18/14,Tuesday
Graduate Student,30-60 minutes,In Person Service Point,Research and Instruction Services,13:00,2/19/14,Wednesday
Visitor/Other,01-5 minutes,Email List,Archives and Special Collections,13:00,2/20/14,Thursday
ARC,01-5 minutes,Email Personal,Access Services,13:00,2/21/14,Friday
Faculty,01-5 minutes,Email Personal,Archives and Special Collections,13:00,2/25/14,Tuesday
Undergraduate Student,10-20 minutes,In Person Service Point,Access Services,13:00,2/25/14,Tuesday
Visitor/Other,05-10 minutes,In Person Personal,Archives and Special Collections,13:00,2/26/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,13:00,2/26/14,Wednesday
Graduate Student,05-10 minutes,Email List,Research and Instruction Services,13:00,2/28/14,Friday
Faculty,20-30 minutes,Email Personal,Research and Instruction Services,13:00,3/3/14,Monday
Undergraduate Student,30-60 minutes,In Person Personal,Research and Instruction Services,13:00,3/5/14,Wednesday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,13:00,3/16/14,Sunday
Undergraduate Student,10-20 minutes,Chat,Access Services,13:00,3/20/14,Thursday
Undergraduate Student,20-30 minutes,In Person Service Point,Access Services,13:00,3/21/14,Friday
Visitor/Other,01-5 minutes,In Person Service Point,Access Services,13:00,3/21/14,Friday
Undergraduate Student,01-5 minutes,Email Personal,Research and Instruction Services,13:00,3/24/14,Monday
Undergraduate Student,01-5 minutes,Email Personal,Research and Instruction Services,13:00,3/24/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,13:00,3/26/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,13:00,3/27/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,13:00,3/27/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,13:00,3/27/14,Thursday
Visitor/Other,20-30 minutes,In Person Service Point,Archives and Special Collections,13:00,3/28/14,Friday
Undergraduate Student,20-30 minutes,Email Personal,Research and Instruction Services,13:00,3/28/14,Friday
Visitor/Other,01-5 minutes,In Person Service Point,Access Services,13:00,3/31/14,Monday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,13:00,4/1/14,Tuesday
Undergraduate Student,10-20 minutes,In Person Service Point,Access Services,13:00,4/1/14,Tuesday
Undergraduate Student,30-60 minutes,Email Personal,Research and Instruction Services,13:00,4/1/14,Tuesday
Visitor/Other,30-60 minutes,Chat,Research and Instruction Services,13:00,4/1/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,13:00,4/2/14,Wednesday
Alumni,01-5 minutes,In Person Service Point,Access Services,13:00,4/2/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,13:00,4/3/14,Thursday
Graduate Student,05-10 minutes,In Person Service Point,Access Services,13:00,4/4/14,Friday
Graduate Student,20-30 minutes,Chat,Access Services,13:00,4/4/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,13:00,4/4/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,13:00,4/10/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,13:00,4/10/14,Thursday
Undergraduate Student,05-10 minutes,Chat,Access Services,13:00,4/13/14,Sunday
Undergraduate Student,01-5 minutes,Email Personal,Research and Instruction Services,13:00,4/14/14,Monday
Undergraduate Student,30-60 minutes,Email Personal,Research and Instruction Services,13:00,4/15/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,13:00,4/15/14,Tuesday
Undergraduate Student,20-30 minutes,Email Personal,Research and Instruction Services,13:00,4/17/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,13:00,4/17/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,13:00,4/17/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,13:00,4/18/14,Friday
Undergraduate Student,01-5 minutes,Chat,Research and Instruction Services,13:00,4/22/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,13:00,4/24/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,13:00,4/24/14,Thursday
Graduate Student,05-10 minutes,Email Personal,Research and Instruction Services,13:00,4/26/14,Saturday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,13:00,4/27/14,Sunday
Faculty,05-10 minutes,In Person Service Point,Access Services,13:00,4/29/14,Tuesday
Undergraduate Student,10-20 minutes,Chat,Research and Instruction Services,13:00,5/2/14,Friday
Staff/Administration,01-5 minutes,Email Personal,Access Services,13:00,5/7/14,Wednesday
Undergraduate Student,10-20 minutes,In Person Service Point,Research and Instruction Services,13:00,5/8/14,Thursday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,13:00,5/16/14,Friday
Undergraduate Student,0-1 minutes,Phone Service Point,Access Services,13:00,5/20/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,13:00,5/21/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,13:00,5/21/14,Wednesday
Faculty,0-1 minutes,In Person Service Point,Access Services,13:00,5/27/14,Tuesday
Staff/Administration,05-10 minutes,In Person Service Point,Access Services,13:00,5/28/14,Wednesday
Staff/Administration,01-5 minutes,In Person Service Point,Access Services,13:00,5/28/14,Wednesday
Staff/Administration,0-1 minutes,In Person Service Point,Access Services,13:00,5/28/14,Wednesday
Staff/Administration,01-5 minutes,Chat,Access Services,13:00,5/28/14,Wednesday
Visitor/Other,01-5 minutes,Email List,Archives and Special Collections,13:00,6/1/14,Sunday
Undergraduate Student,05-10 minutes,Chat,Research and Instruction Services,13:00,6/5/14,Thursday
Staff/Administration,0-1 minutes,In Person Service Point,Archives and Special Collections,13:00,6/16/14,Monday
Staff/Administration,0-1 minutes,Phone Service Point,Access Services,13:00,6/17/14,Tuesday
Undergraduate Student,10-20 minutes,Email List,Research and Instruction Services,13:00,6/20/14,Friday
Graduate Student,01-5 minutes,Chat,Access Services,13:00,6/23/14,Monday
Visitor/Other,01-5 minutes,Phone Service Point,Access Services,13:00,7/2/14,Wednesday
Visitor/Other,01-5 minutes,In Person Service Point,Access Services,13:00,7/3/14,Thursday
Staff/Administration,05-10 minutes,Phone Service Point,Research and Instruction Services,13:00,7/10/14,Thursday
Graduate Student,20-30 minutes,Phone Service Point,Research and Instruction Services,13:00,7/10/14,Thursday
Alumni,0-1 minutes,In Person Service Point,Archives and Special Collections,13:00,7/15/14,Tuesday
Faculty,05-10 minutes,Email Personal,Research and Instruction Services,13:00,7/18/14,Friday
Faculty,05-10 minutes,Email Personal,Research and Instruction Services,13:00,7/21/14,Monday
Faculty,05-10 minutes,Email Personal,Research and Instruction Services,13:00,7/21/14,Monday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,13:00,7/25/14,Friday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,13:00,7/28/14,Monday
Graduate Student,01-5 minutes,Email Personal,Research and Instruction Services,13:00,7/30/14,Wednesday
Graduate Student,60+ minutes,In Person Service Point,Research and Instruction Services,13:00,8/5/14,Tuesday
Faculty,20-30 minutes,Chat,Research and Instruction Services,13:00,8/6/14,Wednesday
Graduate Student,05-10 minutes,In Person Service Point,Access Services,13:00,8/7/14,Thursday
Visitor/Other,01-5 minutes,Phone Service Point,Access Services,13:00,8/20/14,Wednesday
Faculty,10-20 minutes,Email Personal,Research and Instruction Services,13:00,8/20/14,Wednesday
Alumni,01-5 minutes,Phone Service Point,Access Services,13:00,8/24/14,Sunday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,13:00,8/24/14,Sunday
Undergraduate Student,01-5 minutes,Chat,Access Services,13:00,8/26/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,13:00,8/28/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,13:00,8/28/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,13:00,8/28/14,Thursday
Faculty,10-20 minutes,In Person Service Point,Research and Instruction Services,13:00,9/2/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,13:00,9/3/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,13:00,9/3/14,Wednesday
Graduate Student,20-30 minutes,In Person Personal,Research and Instruction Services,13:00,9/4/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Research and Instruction Services,13:00,9/4/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Research and Instruction Services,13:00,9/4/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,13:00,9/6/14,Saturday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,13:00,9/8/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,13:00,9/10/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,13:00,9/10/14,Wednesday
Graduate Student,05-10 minutes,Chat,Access Services,13:00,9/10/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,13:00,9/12/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,13:00,9/15/14,Monday
