source,target
23,161
33,161
95,160
126,160
33,161
59,160
115,161
33,160
113,161
143,160
143,160
23,161
23,161
97,161
97,161
126,160
62,160
63,161
71,160
126,160
126,160
126,160
158,160
38,160
119,161
74,160
104,160
104,160
126,160
3,160
23,161
42,163
71,160
104,160
104,160
126,160
142,160
34,163
54,163
104,160
13,161
23,161
23,161
52,160
54,163
54,163
54,163
54,163
64,161
71,160
104,160
104,160
126,160
23,161
23,161
54,163
75,160
104,160
64,161
65,160
75,163
111,161
75,163
126,160
40,161
64,161
71,160
139,160
34,161
126,160
142,161
71,160
25,163
71,160
46,161
132,163
132,163
132,160
132,160
1,160
1,160
1,161
146,161
153,161
12,161
113,161
121,160
121,163
129,160
11,160
11,161
126,160
31,160
68,160
103,161
103,163
103,160
16,163
16,160
152,160
0,160
33,160
114,163
114,163
142,161
142,161
30,163
66,161
66,161
142,161
142,161
0,160
25,161
25,163
104,160
104,160
104,160
104,160
104,160
114,163
126,160
126,160
126,160
142,161
5,163
5,161
30,163
30,163
30,163
104,160
113,160
114,163
0,160
30,163
97,160
114,163
55,161
114,160
3,163
1,160
128,163
5,163
114,160
114,163
10,160
37,161
96,161
95,160
125,161
77,161
42,163
130,160
154,161
85,160
85,161
85,161
85,161
54,160
64,160
64,160
80,161
85,161
104,163
54,160
64,160
64,160
85,161
85,161
104,163
117,161
38,160
54,160
64,160
64,160
64,160
85,161
85,161
25,163
104,163
26,161
38,160
104,163
25,163
25,161
34,160
54,160
54,160
104,163
127,160
23,160
23,160
23,160
122,161
122,161
23,160
23,160
23,160
104,163
77,161
100,160
38,160
124,160
141,160
124,163
124,163
149,161
149,161
67,161
38,160
124,163
124,163
22,161
124,161
124,163
19,161
124,163
45,161
124,163
105,160
12,161
17,163
87,163
126,163
99,160
138,161
125,161
126,163
129,160
0,163
43,161
109,161
126,163
54,160
54,160
54,160
126,163
34,163
117,161
117,161
126,163
51,161
54,160
54,160
54,160
16,163
27,161
54,160
34,163
40,161
52,160
142,160
25,160
25,163
25,161
40,161
142,160
142,160
117,161
117,161
117,161
117,161
117,161
117,161
117,161
117,161
124,163
124,160
124,163
124,163
73,160
79,161
124,163
124,163
124,163
124,163
124,163
124,163
125,161
53,161
120,160
76,160
137,163
116,160
118,164
152,161
80,161
104,160
122,161
122,161
88,163
109,161
142,161
66,161
126,160
59,160
101,160
101,160
101,161
11,160
11,161
118,160
126,160
126,160
143,164
118,164
143,163
118,163
29,163
126,161
126,160
126,160
142,161
151,160
44,160
13,161
76,161
142,161
142,161
66,161
71,160
71,160
104,160
104,160
121,161
126,160
126,160
142,161
142,161
8,160
25,163
26,161
59,160
135,160
71,160
94,160
94,160
104,160
116,160
155,160
116,160
155,160
142,161
142,161
25,163
104,160
126,160
29,163
34,163
64,161
64,161
71,160
104,160
104,160
104,160
121,161
121,161
25,160
25,161
25,163
64,161
64,161
71,160
114,163
19,161
29,163
38,160
103,161
29,163
34,163
46,161
64,161
64,161
94,160
104,160
104,160
29,163
32,160
29,163
34,163
70,161
127,160
153,161
83,160
53,160
116,160
155,160
38,160
155,160
118,164
113,163
145,160
16,160
149,161
15,163
15,163
156,164
156,160
28,161
116,164
155,164
12,161
122,161
11,161
11,160
16,161
28,161
150,160
150,160
126,160
138,163
152,161
66,161
66,161
126,160
126,160
126,161
28,161
150,160
15,163
24,163
28,161
28,161
38,160
150,160
150,160
155,160
0,163
24,163
34,161
34,163
126,160
2,163
2,160
24,163
50,163
126,160
126,164
136,160
55,163
34,163
37,161
37,161
126,160
142,160
150,160
24,163
28,161
153,161
128,163
38,160
38,160
38,160
38,160
38,160
127,160
57,163
57,163
57,163
128,161
79,161
33,161
64,164
127,160
65,161
65,161
82,160
70,161
72,163
98,160
70,160
59,161
64,164
115,160
123,161
4,160
21,161
54,160
59,161
148,160
21,161
24,163
29,163
39,160
47,161
47,161
54,160
64,164
104,160
104,160
117,161
117,161
21,161
24,163
24,163
104,160
104,160
4,164
34,163
54,160
54,160
104,160
21,161
21,161
23,160
23,160
24,163
29,163
88,163
88,163
104,160
21,161
23,160
34,163
54,160
54,160
104,160
5,163
24,163
54,160
115,160
24,163
29,163
24,163
69,160
29,163
142,162
21,161
29,163
69,161
32,161
40,161
18,160
22,161
2,163
2,163
36,160
62,160
115,160
79,161
64,164
115,160
130,160
115,163
115,163
122,161
125,161
125,161
0,163
67,161
122,161
12,161
127,160
0,163
17,163
24,161
140,161
34,163
34,160
86,160
126,164
0,163
107,161
107,161
126,164
126,164
126,164
142,163
41,160
150,163
150,163
142,163
126,164
150,163
142,163
69,160
86,163
108,160
41,160
150,163
20,160
105,160
92,161
64,164
118,164
118,164
49,161
96,161
151,160
152,164
95,160
140,164
152,164
143,164
118,164
155,164
116,164
106,164
4,164
1,164
106,164
116,164
122,161
54,161
59,160
66,161
155,161
34,163
64,161
11,161
29,164
29,164
56,163
56,163
64,164
71,161
147,160
147,160
153,161
29,164
29,164
29,164
71,161
78,161
4,164
33,163
38,160
54,160
54,160
71,161
71,161
104,163
104,163
104,163
23,161
23,161
61,163
71,161
85,163
85,163
85,163
85,163
85,163
23,161
52,161
54,160
54,160
54,160
64,161
71,161
78,161
125,161
133,163
147,160
147,160
147,160
147,160
23,161
23,161
41,161
64,161
78,161
85,163
104,163
104,163
104,163
104,163
19,161
16,161
71,161
118,164
4,164
23,161
149,161
6,161
64,161
132,163
132,163
109,161
110,161
86,163
84,163
84,163
35,164
144,163
19,161
96,161
34,163
58,163
4,164
126,163
126,163
126,163
157,162
157,162
126,163
157,162
157,162
157,162
126,163
157,162
86,163
92,161
84,163
84,163
93,163
117,161
91,164
140,162
