index,color,size,label
0,red,5,faculty
1,red,5,faculty
2,red,5,faculty
3,red,5,faculty
4,red,5,faculty
5,red,5,faculty
6,red,5,faculty
7,red,5,faculty
8,red,5,faculty
9,red,5,faculty
10,red,5,faculty
11,red,5,faculty
12,red,5,faculty
13,red,5,faculty
14,red,5,faculty
15,red,5,faculty
16,red,5,faculty
17,red,5,faculty
18,red,5,faculty
19,red,5,faculty
20,red,5,faculty
21,red,5,faculty
22,red,5,faculty
23,red,5,faculty
24,red,5,faculty
25,red,5,faculty
26,red,5,faculty
27,red,5,faculty
28,red,5,faculty
29,red,5,faculty
30,red,5,faculty
31,red,5,faculty
32,red,5,faculty
33,red,5,faculty
34,red,5,faculty
35,red,5,faculty
36,red,5,faculty
37,red,5,faculty
38,red,5,faculty
39,red,5,faculty
40,red,5,faculty
41,red,5,faculty
42,red,5,faculty
43,red,5,faculty
44,red,5,faculty
45,red,5,faculty
46,red,5,faculty
47,red,5,faculty
48,red,5,faculty
49,red,5,faculty
50,red,5,faculty
51,red,5,faculty
52,red,5,faculty
53,red,5,faculty
54,red,5,faculty
55,red,5,faculty
56,red,5,faculty
57,red,5,faculty
58,red,5,faculty
59,red,5,faculty
60,red,5,faculty
61,red,5,faculty
62,red,5,faculty
63,red,5,faculty
64,red,5,faculty
65,red,5,faculty
66,red,5,faculty
67,red,5,faculty
68,red,5,faculty
69,red,5,faculty
70,red,5,faculty
71,red,5,faculty
72,red,5,faculty
73,red,5,faculty
74,red,5,faculty
75,red,5,faculty
76,red,5,faculty
77,red,5,faculty
78,red,5,faculty
79,red,5,faculty
80,red,5,faculty
81,red,5,faculty
82,red,5,faculty
83,red,5,faculty
84,red,5,faculty
85,red,5,faculty
86,red,5,faculty
87,red,5,faculty
88,red,5,faculty
89,red,5,faculty
90,red,5,faculty
91,red,5,faculty
92,red,5,faculty
93,red,5,faculty
94,red,5,faculty
95,red,5,faculty
96,red,5,faculty
97,red,5,faculty
98,red,5,faculty
99,red,5,faculty
100,red,5,faculty
101,red,5,faculty
102,red,5,faculty
103,red,5,faculty
104,red,5,faculty
105,red,5,faculty
106,red,5,faculty
107,red,5,faculty
108,red,5,faculty
109,red,5,faculty
110,red,5,faculty
111,red,5,faculty
112,red,5,faculty
113,red,5,faculty
114,red,5,faculty
115,red,5,faculty
116,red,5,faculty
117,red,5,faculty
118,red,5,faculty
119,red,5,faculty
120,red,5,faculty
121,red,5,faculty
122,red,5,faculty
123,red,5,faculty
124,red,5,faculty
125,red,5,faculty
126,red,5,faculty
127,red,5,faculty
128,red,5,faculty
129,red,5,faculty
130,red,5,faculty
131,red,5,faculty
132,red,5,faculty
133,red,5,faculty
134,red,5,faculty
135,red,5,faculty
136,red,5,faculty
137,red,5,faculty
138,red,5,faculty
139,red,5,faculty
140,red,5,faculty
141,red,5,faculty
142,red,5,faculty
143,red,5,faculty
144,red,5,faculty
145,red,5,faculty
146,red,5,faculty
147,red,5,faculty
148,red,5,faculty
149,red,5,faculty
150,red,5,faculty
151,red,5,faculty
152,red,5,faculty
153,red,5,faculty
154,red,5,faculty
155,red,5,faculty
156,red,5,faculty
157,red,5,faculty
158,red,5,faculty
159,red,5,faculty
160,blue,10,librarian
161,blue,10,librarian
162,blue,10,librarian
163,blue,10,librarian
164,blue,10,librarian
